CLUSTER;FILIAL DESTINO;GH;FECHAMENTO 1200;FREQ;CUBAGEM TOTAL;CUSTO MEDIO TOTAL;QTDE
SPLTR063;1221;1.0;SEG/TER/QUA/QUI/SEX;5.0;15.0043;298312.9;387
SPLTR063;1312;1.0;SEG/TER/QUA/QUI/SEX;5.0;10.6502;180582.19;237
SPLTR065;1066;1.0;QUI/SEX/SEG/TER/QUA;5.0;1.1778;35840.15;139
SPLTR065;1076;1.0;QUI/SEX/SEG/TER/QUA;5.0;5.8748000000000005;90170.63;68
SPLTR066;1018;1.0;SEG/TER/QUA/QUI/SEX;5.0;11.7989;214810.24;321
SPLTR066;1077;1.0;SEG/TER/QUA/QUI/SEX;5.0;4.2272;42362.01;149
SPLTR066;1897;1.0;SEG/TER/QUA/QUI/SEX;5.0;2.2782;53722.47;138
SPLTR067;1069;1.0;TER/QUA/QUI/SEX;4.0;8.2947;53854.159999999996;143
SPLTR067;1101;1.0;TER/QUA/QUI/SEX;4.0;5.851;68508.11;229
SPLTR067;1262;1.0;TER/QUA/QUI/SEX;4.0;8.7171;74769.54000000001;67
SPLTR067;1493;1.0;TER/QUA/QUI/SEX;4.0;5.3908;80999.49;94
SPLTR270;1402;1.0;SEX/TER;2.0;4.165;61144.48;63
SPLTR270;2171;1.0;SEX/TER;2.0;1.7066;26265.65;30
SPLTR9036;1390;14.0;QUA;1.0;3.8069;21771.4;33
SPLTR9037;1251;1.0;QUI/SEG;2.0;9.4992;81003.86;139
SPMTR266;1219;1.0;QUI/SEG;2.0;15.4364;312248.64;311
